category_id,game_id
2,10493
7,2087
2,13304
2,15908
5,9525
3,6734
2,1425
2,16895
2,9168
3,11884
7,10508
5,3173
5,16206
2,6500
5,3765
5,9858
5,14911
2,588
2,552
3,6840
2,11193
2,13531
2,6991
5,5889
2,15516
5,9270
5,15580
2,15287
2,878
7,215
8,832
3,2277
7,5212
2,14157
2,16141
5,4955
2,3301
2,6717
5,11465
2,12171
2,5747
5,7173
7,6898
2,15655
5,2520
2,6364
5,14936
2,12574
5,9748
5,2582
7,2274
2,9396
3,2165
2,5287
2,5202
8,1877
3,4567
5,197
5,17663
2,1298
5,8859
5,9792
7,9583
5,11574
2,19013
2,4114
3,2776
8,13863
5,708
2,874
5,2075
9,890
2,20276
4,2239
5,1515
5,6598
5,14721
5,9257
2,4847
3,1120
5,8706
3,1172
2,18299
5,15892
2,11725
5,347
3,3700
5,3197
4,5073
2,2505
8,12249
3,551
5,11767
2,13216
2,14223
8,1374
2,8961
2,1471
2,1394
8,935
2,15812
2,7867
2,957
7,8102
2,1275
5,1672
8,2487
5,410
5,7398
5,15273
8,716
8,10257
2,3397
7,1721
2,5743
2,14952
2,19292
9,869
2,11782
6,1662
2,17664
7,15968
8,14750
5,7397
5,457
2,654
9,1274
2,4178
3,8146
8,5941
2,16084
3,3263
2,1252
2,9208
2,663
5,291
2,4640
7,4149
2,864
5,16775
2,506
9,3535
7,9308
2,962
3,16244
5,16517
7,2140
2,4122
2,16898
7,1702
5,4068
2,15669
2,13578
2,4699
5,9314
7,11333
5,12099
5,9296
5,6341
2,11322
9,2403
8,6997
4,3261
2,9791
2,2298
5,3258
5,3689
2,684
5,7157
2,2330
2,1329
9,1380
2,7339
2,20581
5,20024
2,15125
9,1255
2,11781
7,9309
5,7348
3,9499
2,14495
5,925
2,4778
5,14388
5,7883
5,9246
7,6227
5,11750
8,4875
5,10558
2,5584
8,7005
5,3211
5,14881
2,780
8,11565
2,17963
5,3217
2,6618
2,4896
5,2079
3,3054
2,12181
2,11877
7,11875
7,10521
2,7952
8,1747
8,10962
7,5158
5,2433
2,16125
8,6706
9,2208
2,13916
2,17146
7,5286
7,5939
2,16937
3,1345
2,14145
2,11944
2,2194
6,251
5,12818
2,14368
5,466
2,6943
8,4987
5,2272
7,4051
2,17305
2,12014
2,16568
5,13375
2,2361
2,5279
2,14497
2,1723
5,6122
5,19930
5,10513
5,249
2,9793
4,3168
3,2527
9,1110
2,4348
2,2507
8,225
2,19569
2,16059
2,755
5,4489
2,6358
2,2400
5,10251
9,13634
2,17168
2,13822
2,15127
7,17968
2,5515
7,14676
2,412
5,4270
7,13483
2,5020
5,1070
5,21
3,2354
2,5624
5,4851
2,7327
5,536
6,4825
5,7254
3,4914
2,15687
5,12115
2,1126
5,459
7,8159
5,12148
5,8951
2,20498
5,9227
8,951
5,13136
2,246
5,3326
7,10786
5,14713
5,2037
3,7575
5,3196
5,10238
5,8168
7,3229
5,3001
3,9010
5,4872
2,4857
8,354
2,5164
5,7422
2,1052
2,11917
2,11836
5,7101
5,17925
2,8573
2,9731
5,2402
2,848
2,11780
2,18734
2,829
2,6523
2,148
5,5627
2,5119
5,2200
7,7634
5,641
2,14544
5,17875
3,13631
5,336
3,4642
9,922
2,1289
5,4583
2,17242
2,4576
2,6655
2,5720
5,3789
2,1058
5,398
5,362
5,2508
5,503
5,12164
7,339
5,9471
2,17568
2,9375
2,555
7,1028
5,7117
9,4337
2,17673
5,4956
2,18918
5,20613
8,632
8,1021
2,16200
2,7428
5,17696
4,4899
9,1061
2,17845
2,1745
2,517
5,578
2,17448
5,37
5,778
7,341
5,17033
2,10492
2,5015
5,7490
2,1992
7,2073
9,1118
2,19290
2,18119
5,2234
5,2326
5,8172
5,3785
7,13525
5,2034
2,14974
5,18569
8,14873
2,16176
5,9009
2,2667
5,7832
2,4067
2,15591
5,2095
8,405
2,11200
8,3205
5,18966
5,4882
3,7761
2,1081
7,760
2,1091
2,2220
2,11529
5,7244
2,855
3,8999
2,13768
8,4657
2,18625
5,3232
2,13344
2,3471
5,10567
6,241
5,11520
8,13866
5,14373
2,11908
2,1240
5,472
2,9602
5,3422
5,12015
2,3032
2,17372
5,5517
5,19335
8,7608
2,11812
5,6319
5,140
5,3050
8,1623
5,2308
5,14349
7,10922
2,6628
5,7375
5,2463
2,1056
2,16089
2,13436
5,7242
2,14341
5,15375
5,12030
5,14158
3,586
3,2355
5,7136
2,11180
5,13834
5,9943
5,10551
5,13240
2,12960
2,5945
2,13729
2,1177
2,17263
7,2573
2,10459
2,3328
7,6748
2,9277
5,2284
7,332
2,3239
5,498
2,1069
9,2518
9,1338
2,1129
2,10862
2,8745
8,11114
2,15841
3,11066
2,9400
5,3828
2,17248
2,16514
2,12174
5,7218
2,1020
2,7737
5,10277
2,8078
8,60
7,11624
2,12569
9,13625
5,13002
2,15448
5,2348
7,14106
5,6529
2,14078
5,8583
2,19293
2,17881
8,1123
2,18267
2,2138
2,2113
2,14254
7,624
2,18860
5,2575
2,16072
2,16894
5,14842
5,14824
5,2401
2,10110
2,13017
8,9657
5,338
2,16893
7,6989
2,10564
2,17147
5,17940
7,9049
2,845
2,18452
8,3015
2,10233
5,8752
5,3179
2,11427
2,16899
2,13893
5,20497
5,5585
2,13698
2,2533
9,3537
2,16578
3,9461
9,7838
5,1513
2,9379
2,11694
2,16088
7,9193
8,14850
2,13214
2,147
5,1810
2,5321
2,16117
2,16973
5,19274
5,2156
7,11625
2,15360
5,9914
8,6026
2,17173
2,11078
2,9906
7,10102
2,4175
2,6690
8,1800
8,13643
3,10653
3,6672
5,2446
8,57
5,9820
2,7341
8,638
5,766
5,14063
2,19283
5,3216
8,1801
2,17760
5,6425
7,14989
2,9701
7,4443
5,4895
5,3991
2,6704
5,2810
2,14463
2,11088
7,875
9,4824
5,1987
2,9736
5,13751
5,419
2,7598
5,10983
2,14200
7,3010
7,16615
2,13370
8,5006
7,7072
5,9685
2,3026
8,3018
5,11703
5,1964
2,1117
5,10479
7,7926
5,13852
8,9520
2,11620
2,11302
2,2717
3,8979
5,7811
7,4101
2,6418
2,715
5,9927
5,5061
2,125
2,14171
2,19562
5,13889
2,9783
5,7001
5,9704
5,240
7,5628
7,6130
8,9638
5,3522
5,3416
7,5356
2,9317
5,13853
2,14100
5,1754
2,5954
7,15928
2,20166
2,5211
7,5583
3,6863
5,61
2,1437
5,8955
5,2914
2,11975
5,2529
5,15336
2,13229
5,709
2,14253
5,8781
7,5282
2,17670
2,19787
5,19786
3,4543
5,14507
7,2519
2,9831
2,5519
2,11927
5,9806
2,717
2,1045
2,11194
2,5728
7,11201
7,18574
5,3548
2,306
5,12116
9,11365
7,8904
2,451
5,462
5,9223
8,15
2,5806
5,3682
2,14429
5,5126
7,13482
6,19475
2,6032
8,11055
2,15118
2,11340
2,3512
5,1039
5,16058
2,10463
4,2622
2,6619
8,8416
7,8416
3,420
3,13671
3,2509
3,5361
3,7487
3,961
3,6635
3,13722
3,509
3,162
4,16330
4,14306
4,1689
4,491
4,469
4,12979
5,13348
5,10661
5,9608
5,15883
5,19124
5,94
5,10259
5,4680
5,274
5,992
5,9032
5,9344
5,3764
5,17540
5,16052
5,4368
5,84
5,187
5,17257
5,214
5,12472
5,14167
5,4370
5,12473
5,7326
5,18277
5,224
5,5151
5,11434
5,4272
5,11971
5,16277
5,373
5,7328
5,443
5,473
5,4180
5,877
5,2040
5,910
5,16579
5,9143
5,3719
5,1393
5,418
5,14547
5,7702
5,12218
5,1682
5,493
5,3092
5,1121
5,1984
5,89
5,3667
5,15040
5,9862
5,17201
5,14246
5,15752
5,12612
5,3342
5,10704
5,151
5,13571
5,6308
5,15743
5,15761
5,1017
5,321
5,1023
5,404
5,12694
5,199
5,773
5,11637
5,15811
5,13228
5,978
5,2257
5,2522
5,12096
5,1219
5,13435
5,5587
5,9335
5,3496
5,13628
5,17864
5,11723
5,16057
5,15318
5,5620
5,2775
5,185
5,11237
5,14909
5,8324
5,10061
5,195
5,409
5,6333
5,4369
5,12031
5,1273
5,19938
5,2210
5,386
5,4929
5,10461
5,3968
5,3085
5,14625
5,16457
5,9313
5,16748
5,379
5,14618
5,10115
5,620
5,4448
5,6085
5,3106
5,710
5,1005
5,2033
5,10694
5,1497
5,426
